epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,496.433,1.12459,0.88613,1.01542,0.97806,0.99359,0.995,0.65859,1.32623,0.60093,1.12831,0.000736,0.000736,0.000736
82,500.703,1.071,0.80857,0.99313,0.98315,0.98289,0.995,0.65352,1.34439,0.60782,1.13128,0.0007327,0.0007327,0.0007327
83,505.305,1.12397,0.9244,1.05907,0.9815,0.98553,0.995,0.63739,1.36387,0.60484,1.14433,0.0007294,0.0007294,0.0007294
84,509.805,1.1308,0.85847,1.0863,0.98517,0.98899,0.995,0.68911,1.17976,0.5667,1.05283,0.0007261,0.0007261,0.0007261
85,514.23,1.09648,0.85308,1.02265,0.98417,0.99407,0.995,0.72554,1.10073,0.55515,1.01633,0.0007228,0.0007228,0.0007228
86,518.835,1.14044,0.8412,1.01856,0.98358,0.99591,0.995,0.68364,1.16254,0.58854,1.04349,0.0007195,0.0007195,0.0007195
87,523.353,1.12143,0.83173,1.05006,0.98627,0.99361,0.995,0.64833,1.32209,0.61753,1.12253,0.0007162,0.0007162,0.0007162
88,527.696,1.12321,0.89415,1.03271,0.98195,0.98623,0.995,0.59704,1.46481,0.66739,1.19479,0.0007129,0.0007129,0.0007129
89,532,1.14678,0.89258,1.07934,0.97781,0.98796,0.995,0.61306,1.4216,0.68756,1.16549,0.0007096,0.0007096,0.0007096
90,536.346,1.16077,0.97775,1.04657,0.95938,0.99448,0.995,0.6407,1.3436,0.72103,1.12038,0.0007063,0.0007063,0.0007063
91,540.65,1.13459,0.8449,1.01953,0.95377,0.99154,0.995,0.6924,1.18425,0.67802,1.04699,0.000703,0.000703,0.000703
92,545.18,1.14878,0.87809,1.0436,0.9588,0.99032,0.995,0.68945,1.19373,0.67819,1.05189,0.0006997,0.0006997,0.0006997
93,549.472,1.06622,0.80321,1.00537,0.97287,0.9881,0.995,0.68758,1.17512,0.66547,1.04798,0.0006964,0.0006964,0.0006964
94,554.049,1.10677,0.86481,1.09634,0.98492,0.99125,0.995,0.6397,1.28306,0.6484,1.1047,0.0006931,0.0006931,0.0006931
95,558.497,1.06348,0.78655,1.00309,0.9837,0.99533,0.995,0.63536,1.27677,0.64566,1.10655,0.0006898,0.0006898,0.0006898
96,562.91,1.06589,0.86655,1.03683,0.98359,0.99356,0.995,0.66938,1.22994,0.58162,1.07912,0.0006865,0.0006865,0.0006865
97,567.258,1.09567,0.85621,1.02907,0.98034,0.99454,0.995,0.67718,1.20262,0.56274,1.06064,0.0006832,0.0006832,0.0006832
98,571.566,1.11524,0.81361,1.00123,0.97197,0.99332,0.995,0.6656,1.22696,0.55074,1.07375,0.0006799,0.0006799,0.0006799
99,576.252,1.06633,0.84722,1.02241,0.97236,0.99083,0.995,0.70059,1.1393,0.53838,1.0329,0.0006766,0.0006766,0.0006766
100,580.794,1.05995,0.80831,0.99955,0.97708,0.98503,0.995,0.74255,1.07468,0.54197,1.01016,0.0006733,0.0006733,0.0006733
101,585.364,1.11904,0.90848,1.02124,0.94463,0.98588,0.99317,0.70667,1.09641,0.61055,1.02185,0.00067,0.00067,0.00067
102,589.941,1.11356,0.87377,1.02476,0.93809,0.99376,0.99317,0.70524,1.11558,0.58963,1.03086,0.0006667,0.0006667,0.0006667
103,594.537,1.16198,0.93954,1.0608,0.97648,0.99123,0.995,0.72187,1.08362,0.54498,1.01409,0.0006634,0.0006634,0.0006634
104,599.124,1.04677,0.78086,1.02564,0.98868,0.99353,0.995,0.70992,1.13979,0.54225,1.03791,0.0006601,0.0006601,0.0006601
105,603.515,1.07714,0.83058,1.00145,0.99007,0.99735,0.995,0.70502,1.14466,0.54461,1.03908,0.0006568,0.0006568,0.0006568
106,607.932,1.06216,0.79468,1.0213,0.97805,0.99509,0.995,0.7373,1.09363,0.56371,1.01619,0.0006535,0.0006535,0.0006535
107,612.302,1.10246,0.75873,1.02326,0.982,0.99817,0.995,0.74636,1.02664,0.54871,0.99367,0.0006502,0.0006502,0.0006502
108,616.664,1.07011,0.75106,1.0291,0.98164,0.98232,0.995,0.73024,1.05145,0.55159,1.00785,0.0006469,0.0006469,0.0006469
109,620.895,1.00781,0.72503,0.98689,0.96931,0.97315,0.995,0.72675,1.08342,0.60734,1.02059,0.0006436,0.0006436,0.0006436
110,625.338,1.07252,0.79983,1.07342,0.97105,0.97609,0.995,0.72181,1.09677,0.58172,1.02555,0.0006403,0.0006403,0.0006403
111,629.783,1.05209,0.7257,1.02151,0.98038,1,0.995,0.69154,1.1739,0.5693,1.0587,0.000637,0.000637,0.000637
112,633.928,1.08816,0.7349,0.99774,0.98165,0.99663,0.995,0.65317,1.2757,0.58709,1.10725,0.0006337,0.0006337,0.0006337
113,638.222,1.05011,0.73638,1.02565,0.98062,0.99461,0.995,0.65931,1.27245,0.5689,1.10683,0.0006304,0.0006304,0.0006304
114,642.518,1.05622,0.73607,1.02608,0.98255,1,0.995,0.694,1.14071,0.55034,1.0399,0.0006271,0.0006271,0.0006271
115,646.964,1.13105,0.77119,1.0821,0.97835,1,0.995,0.6833,1.15921,0.56142,1.04618,0.0006238,0.0006238,0.0006238
116,651.243,1.05436,0.80739,1.05014,0.97073,0.98171,0.995,0.68512,1.18781,0.60498,1.05896,0.0006205,0.0006205,0.0006205
117,655.537,1.01536,0.74258,0.99284,0.96958,0.97465,0.995,0.73874,1.04949,0.60349,1.00119,0.0006172,0.0006172,0.0006172
118,659.932,1.05724,0.74585,0.99218,0.97924,0.99664,0.995,0.75141,1.02993,0.53615,0.99215,0.0006139,0.0006139,0.0006139
119,664.389,1.09898,0.76537,1.04098,0.97909,0.99635,0.995,0.7488,1.03594,0.52057,0.99323,0.0006106,0.0006106,0.0006106
120,668.442,1.02754,0.73905,0.9926,0.97671,0.99452,0.995,0.72008,1.0984,0.5247,1.01367,0.0006073,0.0006073,0.0006073
121,672.943,1.08164,0.77846,1.00265,0.98598,1,0.995,0.70465,1.16524,0.52022,1.03717,0.000604,0.000604,0.000604
122,677.186,1.05445,0.74752,0.99971,0.98561,0.993,0.995,0.72178,1.12022,0.51599,1.02073,0.0006007,0.0006007,0.0006007
123,681.475,1.06073,0.69636,1.00925,0.98797,0.98375,0.995,0.71495,1.13544,0.52371,1.03103,0.0005974,0.0005974,0.0005974
124,685.977,1.05059,0.77636,1.02926,0.98658,0.98286,0.995,0.70126,1.16279,0.52105,1.04147,0.0005941,0.0005941,0.0005941
125,690.373,1.03061,0.69765,0.97084,0.98288,0.98566,0.995,0.71825,1.11218,0.51679,1.01711,0.0005908,0.0005908,0.0005908
126,694.61,1.05367,0.71528,0.97949,0.98938,0.97791,0.995,0.70263,1.1462,0.52121,1.032,0.0005875,0.0005875,0.0005875
127,698.822,1.01955,0.69837,1.01232,0.99071,0.97174,0.995,0.64849,1.31555,0.54275,1.11156,0.0005842,0.0005842,0.0005842
128,703.235,1.1046,0.78717,1.0613,0.98583,0.97335,0.995,0.61653,1.42654,0.56784,1.16606,0.0005809,0.0005809,0.0005809
129,707.93,1.08925,0.77038,1.058,0.9683,0.99032,0.995,0.65142,1.29197,0.54279,1.09567,0.0005776,0.0005776,0.0005776
130,712.356,1.07759,0.74913,1.01373,0.97113,0.98991,0.995,0.69782,1.17232,0.52722,1.04705,0.0005743,0.0005743,0.0005743
131,716.663,1.02881,0.70529,1.00903,0.97585,0.98714,0.995,0.67569,1.25283,0.54503,1.0824,0.000571,0.000571,0.000571
132,721.069,1.11409,0.7959,1.06397,0.97862,0.98662,0.995,0.67495,1.23548,0.54216,1.07523,0.0005677,0.0005677,0.0005677
133,725.619,1.06965,0.72021,0.98578,0.97054,0.99141,0.995,0.71869,1.1335,0.5194,1.03257,0.0005644,0.0005644,0.0005644
134,729.979,1.02732,0.7196,1.0028,0.96247,0.99495,0.995,0.72322,1.11448,0.51189,1.02449,0.0005611,0.0005611,0.0005611
135,734.031,1.03544,0.72115,1.01111,0.9633,0.99541,0.995,0.73907,1.07504,0.51797,1.0045,0.0005578,0.0005578,0.0005578
136,738.561,1.05286,0.74988,1.03707,0.96986,0.99305,0.995,0.71605,1.12596,0.53789,1.02671,0.0005545,0.0005545,0.0005545
137,742.844,1.05927,0.69423,0.98821,0.97183,0.99265,0.995,0.71381,1.14371,0.53994,1.0346,0.0005512,0.0005512,0.0005512
138,747.188,1.07103,0.72419,1.02347,0.97255,0.99241,0.995,0.73566,1.1091,0.52889,1.01364,0.0005479,0.0005479,0.0005479
139,751.751,1.02798,0.70623,0.99204,0.98926,0.97549,0.995,0.67411,1.25622,0.54561,1.08113,0.0005446,0.0005446,0.0005446
140,755.969,1.00062,0.74472,1.02121,0.98805,0.97467,0.995,0.59397,1.4764,0.58373,1.1998,0.0005413,0.0005413,0.0005413
141,760.337,1.12755,0.72584,1.06235,0.98673,0.9755,0.995,0.56907,1.59585,0.5884,1.27065,0.000538,0.000538,0.000538
142,764.817,1.17332,0.72537,1.04868,0.97042,0.9908,0.995,0.64487,1.31507,0.55613,1.11009,0.0005347,0.0005347,0.0005347
143,769.115,1.08052,0.75645,0.98674,0.96635,0.99401,0.995,0.67632,1.18911,0.53344,1.04845,0.0005314,0.0005314,0.0005314
144,773.574,1.09166,0.68734,1.03658,0.96719,0.99293,0.995,0.69965,1.14967,0.50478,1.03223,0.0005281,0.0005281,0.0005281
145,777.829,0.97007,0.63771,1.0057,0.97124,0.98773,0.995,0.68655,1.17745,0.49867,1.04788,0.0005248,0.0005248,0.0005248
146,782.219,1.09189,0.74391,1.08471,0.98671,0.97709,0.995,0.69091,1.17368,0.51092,1.04712,0.0005215,0.0005215,0.0005215
147,786.6,1.05169,0.69568,1.01788,0.98541,0.97878,0.995,0.71038,1.14212,0.51793,1.0358,0.0005182,0.0005182,0.0005182
148,791.055,1.08667,0.70861,1.06791,0.97199,0.99434,0.995,0.71772,1.11765,0.50965,1.02597,0.0005149,0.0005149,0.0005149
149,795.663,1.00597,0.6519,1.00682,0.97891,0.99044,0.995,0.68383,1.16123,0.50519,1.04334,0.0005116,0.0005116,0.0005116
150,799.842,1.02622,0.675,1.01899,0.98023,0.98917,0.995,0.68011,1.17918,0.51027,1.05189,0.0005083,0.0005083,0.0005083
151,804.174,1.05576,0.65311,0.98833,0.98085,0.98919,0.995,0.69628,1.13506,0.50964,1.03464,0.000505,0.000505,0.000505
152,808.618,1.03756,0.65138,1.0258,0.9749,0.98811,0.995,0.74581,1.04331,0.48186,0.99623,0.0005017,0.0005017,0.0005017
153,812.933,1.07726,0.6982,1.05648,0.98829,0.97214,0.995,0.75328,1.05526,0.48145,1.00133,0.0004984,0.0004984,0.0004984
154,817.255,1.06043,0.71976,1.02015,0.98769,0.9723,0.995,0.75064,1.08323,0.48922,1.01266,0.0004951,0.0004951,0.0004951
155,821.332,1.02278,0.66479,1.01975,0.98948,0.97255,0.995,0.69061,1.21382,0.52683,1.07163,0.0004918,0.0004918,0.0004918
156,825.737,1.02508,0.67669,1.04096,0.97593,0.98817,0.995,0.71665,1.16147,0.53381,1.0503,0.0004885,0.0004885,0.0004885
157,830.015,1.0062,0.65974,0.96894,0.97707,0.98942,0.995,0.73892,1.13534,0.52792,1.03725,0.0004852,0.0004852,0.0004852
158,834.557,1.00558,0.69372,0.99007,0.98574,0.97541,0.995,0.71166,1.1592,0.51826,1.04233,0.0004819,0.0004819,0.0004819
159,839.279,0.99322,0.66065,1.00013,0.9853,0.97581,0.995,0.6992,1.16857,0.504,1.04622,0.0004786,0.0004786,0.0004786
160,843.685,1.00727,0.67776,1.00667,0.97732,0.98562,0.995,0.70443,1.15762,0.50136,1.04173,0.0004753,0.0004753,0.0004753
161,848.227,1.014,0.63936,0.99333,0.97873,0.99148,0.995,0.72975,1.11709,0.49103,1.02505,0.000472,0.000472,0.000472
162,852.742,0.98014,0.66324,1.03409,0.98599,0.98895,0.995,0.73585,1.09491,0.4816,1.01871,0.0004687,0.0004687,0.0004687
163,857.021,0.99006,0.69315,1.01232,0.98295,0.98713,0.995,0.73047,1.10308,0.48856,1.01926,0.0004654,0.0004654,0.0004654
164,861.301,0.989,0.65194,0.98719,0.97946,0.98658,0.995,0.72488,1.10733,0.49677,1.02009,0.0004621,0.0004621,0.0004621
165,865.625,0.99479,0.66051,0.9817,0.9835,0.97832,0.995,0.73592,1.06544,0.49689,1.00471,0.0004588,0.0004588,0.0004588
166,870.108,1.00763,0.66082,0.98628,0.98421,0.97588,0.995,0.74061,1.04545,0.49824,1.00083,0.0004555,0.0004555,0.0004555
167,874.717,1.02248,0.65098,0.98881,0.97469,0.9813,0.995,0.74479,1.04541,0.50001,1.00395,0.0004522,0.0004522,0.0004522
168,879.007,0.96891,0.64324,0.99676,0.97894,0.97468,0.995,0.70366,1.18804,0.52101,1.06621,0.0004489,0.0004489,0.0004489
169,883.491,1.12893,0.69879,1.0214,0.98519,0.97328,0.995,0.68239,1.25328,0.52999,1.10065,0.0004456,0.0004456,0.0004456
170,887.786,1.02525,0.65759,1.01514,0.98945,0.97285,0.995,0.68291,1.22563,0.52519,1.08368,0.0004423,0.0004423,0.0004423
171,892.004,1.01347,0.68323,1.00589,0.98494,0.97794,0.995,0.75003,1.06231,0.5161,1.005,0.000439,0.000439,0.000439
172,896.068,1.03473,0.63679,1.03491,0.984,0.97641,0.995,0.75098,1.04626,0.51337,0.99619,0.0004357,0.0004357,0.0004357
173,900.494,1.08124,0.68768,0.99753,0.98594,0.97314,0.995,0.72932,1.08582,0.51657,1.01067,0.0004324,0.0004324,0.0004324
174,904.878,1.09051,0.69102,1.04424,0.98568,0.97171,0.995,0.64207,1.32046,0.54285,1.10962,0.0004291,0.0004291,0.0004291
175,909.154,1.0506,0.71106,1.074,0.98266,0.9734,0.995,0.64844,1.29601,0.53423,1.09744,0.0004258,0.0004258,0.0004258
176,913.482,0.97618,0.61503,0.97936,0.98034,0.97546,0.995,0.68289,1.21621,0.5248,1.05972,0.0004225,0.0004225,0.0004225
177,917.713,0.97905,0.64647,0.95768,0.97953,0.97721,0.995,0.70219,1.17237,0.51289,1.04403,0.0004192,0.0004192,0.0004192
178,922.269,1.02777,0.65114,0.98743,0.98707,0.97328,0.995,0.71052,1.14301,0.52255,1.03559,0.0004159,0.0004159,0.0004159
